pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,fees_to_beets,total_incentives,redirected_incentives,last_join_exit,is_alliance,is_partner
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,0.0000,5552.9403,694.1175,971.7646,0.0000,4168.4946,281.4364,0,False,False
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,0.0000,5314.3169,664.2896,930.0055,0.0000,3989.3642,269.3424,0,False,False
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Surge Fluid wstETH-wETH,0.0000,2560.3173,320.0397,448.0555,0.0000,1473.9296,129.7630,0,True,True
0x1ea5870f7c037930ce1d5d8d9317c670e89e13e3,mainnet,rETH-waEthWETH,0.0000,2168.6660,271.0832,379.5165,0.0000,1627.9794,109.9132,0,False,False
0xdaba3d8ccf79ef289a7e2dbce51871b39ea445a2,mainnet,80TREE-20AavePrimeWETH,0.0000,544.9440,68.1180,95.3652,0.0000,0.0000,-381.4608,0,False,False
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,0.0000,347.9823,43.4978,60.8969,0.0000,0.0000,-243.5876,0,False,False
0xe2332649955c7c98389480ab46dd4cb6755ac703,mainnet,75SDEX25AaveLidoETH,0.0000,197.6977,24.7122,34.5971,0.0000,0.0000,-138.3884,0,False,False
0x114907c2a07978c38ebb9f9f6a5261a846b79521,mainnet,aUSDC-USP,0.0000,28.8391,3.6049,5.0468,0.0000,0.0000,-20.1873,0,False,False
0x071828acc755314e687448703775f22194f56867,mainnet,Surge siUSD-sUSDe,0.0000,9.7583,1.2198,1.7077,0.0000,0.0000,-6.8308,0,False,False
0x6e6bb18449fcf15b79efa2cfa70acf7593088029,gnosis,waWstETH-waWETH,0.0000,650.2231,81.2779,113.7891,0.0000,613.7296,158.5734,0,False,False
0x272d6be442e30d7c87390edeb9b96f1e84cecd8d,gnosis,50waWstETH-50waGNO,0.0000,226.5334,28.3167,39.6433,0.0000,0.0000,-158.5734,0,False,False
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,0.0000,1854.5962,231.8245,324.5543,0.0000,1672.9035,374.6862,0,False,False
0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,base,Balancer rETH-Aave wETH,0.0000,289.4696,36.1837,50.6572,0.0000,0.0000,-202.6287,0,False,False
0x9ab907fb3e098103ca048ad26e501bf7b3dfa3eb,base,Surge Aave EURC-GHO,0.0000,245.7964,30.7246,43.0144,0.0000,0.0000,-172.0575,0,False,False
0xa978cc348a0b5de8bd564a1d8fe437787fd12664,arbitrum,EURe-Aave USDC,0.0000,5590.1004,698.7625,978.2676,0.0000,4092.7221,179.6518,0,False,False
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,0.0000,1157.1034,144.6379,202.4931,0.0000,847.1588,37.1864,0,False,False
0x5418a64e0cdb20548acb394f5d00a089baf02161,arbitrum,Balancer rETH-Aave wETH,0.0000,243.9155,30.4894,42.6852,0.0000,0.0000,-170.7409,0,False,False
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,0.0000,50.7387,6.3423,8.8793,0.0000,0.0000,-35.5171,0,False,False
0x10f9e54aeea2fefa124238087dcfd919ba32f14d,arbitrum,Surge eBTC-Aave WBTC,0.0000,15.1147,1.8893,2.6451,0.0000,0.0000,-10.5803,0,False,False
