chain,token_address,gauge_address,amount,amount_mantissa
arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,0xB599e35f760c47888aD3fF684FF4cd01ff4Dc45B,902.503091021552770066,902503091021552770066
arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,0x00654F788342647A8Aa15f2eb2490e17d222aC85,240.384615384615384614,240384615384615384614
arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,0xB599e35f760c47888aD3fF684FF4cd01ff4Dc45B,884.806951981914480456,884806951981914480456
arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,0x00654F788342647A8Aa15f2eb2490e17d222aC85,240.384615384615384614,240384615384615384614
arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,0xB599e35f760c47888aD3fF684FF4cd01ff4Dc45B,1090.504607211401534586,1090504607211401534586
arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,0xB599e35f760c47888aD3fF684FF4cd01ff4Dc45B,1069.122163932746602536,1069122163932746602536
arbitrum,0x7dfF72693f6A4149b17e7C6314655f6A9F7c8B33,0xD558C611B69a223767788B638717E868D8947Fd0,371.064665490089080784,371064665490089080784
arbitrum,0x7dfF72693f6A4149b17e7C6314655f6A9F7c8B33,0xD558C611B69a223767788B638717E868D8947Fd0,371.064665490089080784,371064665490089080784
arbitrum,0x7dfF72693f6A4149b17e7C6314655f6A9F7c8B33,0x2e8A05f0216c6cC43BC123EE7dEf58901d3844D2,340.914376792464471859,340914376792464471859
arbitrum,0x7dfF72693f6A4149b17e7C6314655f6A9F7c8B33,0x2e8A05f0216c6cC43BC123EE7dEf58901d3844D2,334.229781169082815548,334229781169082815548
arbitrum,0x7dfF72693f6A4149b17e7C6314655f6A9F7c8B33,0x2e8A05f0216c6cC43BC123EE7dEf58901d3844D2,318.408039864844575904,318408039864844575904
arbitrum,0x7dfF72693f6A4149b17e7C6314655f6A9F7c8B33,0x2e8A05f0216c6cC43BC123EE7dEf58901d3844D2,312.164744965533897944,312164744965533897944
