chain,bribe_market,token_address,gauge_address,amount,amount_mantissa
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x52d28dfF7759Ca78978954eBAbF87481BD5Cf8f0,195.631314223134081855,195631314223134081855
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,184.732602256822467024,184732602256822467024
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,188.427254301958916364,188427254301958916364
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x52d28dfF7759Ca78978954eBAbF87481BD5Cf8f0,161.245883280960422064,161245883280960422064
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x52d28dfF7759Ca78978954eBAbF87481BD5Cf8f0,158.084199295059237318,158084199295059237318
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,236.674610239922639758,236674610239922639758
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x52d28dfF7759Ca78978954eBAbF87481BD5Cf8f0,202.944256238025517219,202944256238025517219
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,232.03393160776729388,232033931607767293880
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x52d28dfF7759Ca78978954eBAbF87481BD5Cf8f0,198.964957096103448256,198964957096103448256
mainnet,hiddenhand,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,3261.41051,3261410510
mainnet,hiddenhand,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,,576.347156755107463804,576347156755107463804
